ID,Nome,ORCID,Lattes
1,Adriane Maria de Oliveira Queiroz,https://orcid.org/0009-0003-3281-5247,http://lattes.cnpq.br/9688350818351425
2,Ana Carolina Menegassi Rocha,,http://lattes.cnpq.br/3118171481670217
3,Ana Cristina Gouvêa Lopes,,http://lattes.cnpq.br/6091690669901066
4,Bruno Maroneze,https://orcid.org/0000-0002-2821-9448,http://lattes.cnpq.br/2386581098769105
5,Dannielly Victória Rodrigues da Silva,,http://lattes.cnpq.br/8693099469156427
6,Fabiani de Amorim Gonçalves,,http://lattes.cnpq.br/5556839544035822
7,Geovanna Salvino de Lima,https://orcid.org/0009-0000-3764-9477,http://lattes.cnpq.br/1383229230978249
8,Kamila da Silva Barbosa,https://orcid.org/0000-0003-2632-0734,http://lattes.cnpq.br/0824015704100767
9,Luana da Silva Borges,,http://lattes.cnpq.br/0983397069003665
10,Marilizi Arruda Tarifa,,http://lattes.cnpq.br/4376662733752083
11,Marimeire Almeida Barros,,http://lattes.cnpq.br/3951171920995304
12,Matheus Stein Casarin,,http://lattes.cnpq.br/9927626991207276
13,Rafaela Lima Domingos,,http://lattes.cnpq.br/1269123121808893
14,Raissa Silveira Buss,,http://lattes.cnpq.br/5067931665456928
15,Sammara Valim Luz dos Santos,,http://lattes.cnpq.br/3505243267193578
16,Vitória Fernandes Pereira,,http://lattes.cnpq.br/9858754186832086